Platform,Video ID,Video URL,Title,Description,Upload Date,Views,Likes,Comments,Engagement Rate (%),Like-to-View Ratio (%),Comment-to-View Ratio (%),Duration (sec),Transcript,Hook Type,CTA Type,Script Framework Type,Title Sentiment
YouTube,9FDVvWR91ww,https://www.youtube.com/watch?v=9FDVvWR91ww,Sister love 💕 #shorts,,2023-10-24T05:00:03Z,1933567612,21462733,0,1.11,1.11,0.0,31,I'm sorry don't leave me I want you here with me I know your love is gone I can't breath I'm sry I know this is in his hand don't tell me that your love is gone that your love,general,none,general,0.5
YouTube,OfB6jvIielo,https://www.youtube.com/watch?v=OfB6jvIielo,Do not waste food #shorts,,2024-08-16T14:37:08Z,748993438,16720181,77918,2.24,2.23,0.01,59,cup cup mixed fruit mix the [Music] fruit powdered sugar powder [Music] sugar bad I walked across an empty land I knew the path way light the back of my head I felt the Earth beneath my feet sh by the river and it made me [Music] complete oh simple thing I have you [Music],general,none,general,0.1
YouTube,UUb68mu2G1M,https://www.youtube.com/watch?v=UUb68mu2G1M,Legendary😂🇺🇬 #shorts,,2024-01-31T08:22:44Z,556987452,12459988,59243,2.25,2.24,0.01,18,another B baby [Music],general,none,general,0.0
YouTube,uZFbRMRtJj0,https://www.youtube.com/watch?v=uZFbRMRtJj0,trying to recreate couples poses #shorts,"#shorts

WE LOVE YOU

lots of fun photos coming your way on Instagram:
@abbyelizabethoward
@_matt_howard_

also... you should follow us on TikTok:
@matt_and_abby

Merch: https://urfavmerch.com/matt-abby/",2021-04-22T17:42:58Z,531387546,4330740,8605,0.82,0.81,0.0,28,N/A,general,none,general,0.0
YouTube,b8XHODTwQfo,https://www.youtube.com/watch?v=b8XHODTwQfo,Tổng hợp video thú vị triệu view #shorts LINKA #subscribe,,2022-07-08T11:38:01Z,429909305,3422239,3216,0.8,0.8,0.0,10,N/A,general,none,general,0.0
YouTube,ZvptCPrknP8,https://www.youtube.com/watch?v=ZvptCPrknP8,Send this to your friends and see who gets scared 🤪 #shorts,"LIGHTS ARE OFF ® brings nightmares to life with 3D animation! 💀

Follow me on INSTAGRAM: https://www.instagram.com/lights.are.off/
Follow me on TIKTOK: https://www.tiktok.com/@lights.are.off?lang=en

Concept by https://www.tiktok.com/@paulmendelson/video/6970318988093967621",2021-06-08T22:56:42Z,368849850,5355701,40736,1.46,1.45,0.01,20,N/A,general,none,general,0.0
YouTube,3Pv4vxfmSzs,https://www.youtube.com/watch?v=3Pv4vxfmSzs,Cute rabbit baby😍#shorts #rabbit #shortsvideo #short,"Cute rabbit baby😍#shorts #rabbit #shortsvideo #short

tiktok
rabbit
cute rabbit
rabbit baby
tik tok
shorts
CoW videos
youtube
con bò
rabbits
cat
dog
khargosh
múa lân
videos
Con cá
COW
wednesday
alejo igoa
mukbang
música
bhoot
con gà
Con mèo
Con rănlll",2023-03-02T08:45:00Z,270067893,2268425,14024,0.85,0.84,0.01,5,N/A,general,none,general,0.25
YouTube,YoyGNB0S1OQ,https://www.youtube.com/watch?v=YoyGNB0S1OQ,Niñas de Antes vs ahora 🤣💕 #shorts #humor #tiktokvideo #latina #comedia #funny #peru #fyp,,2025-02-02T02:16:56Z,335727790,4327434,19356,1.29,1.29,0.01,28,gracias mama [Music],general,none,general,0.25
YouTube,A4T6bI5w8N4,https://www.youtube.com/watch?v=A4T6bI5w8N4,CRAZY ART TO PRANK YOUR FRIENDS 😆 #shorts #drawpaw,"CRAZY ART TO PRANK YOUR FRIENDS 😆 #shorts #drawpaw 
SUBSCRIBE to DrawPaw channel🎨 https://www.youtube.com/@Draw-Paw",2023-09-01T15:00:16Z,251419693,3975395,7651,1.58,1.58,0.0,59,[Music] hey this looks like my skin which gives me a brilliant idea spread the clay over your finger try to really smooth it out [Music] with a stick make a cut into it concealer to blend it into your skin more [Music] next take red paint and use it to fill in the cut [Music] it's okay if it's a bit messy I can't go to class with this [Music] look that was easy oh that should stop the bleeding my poor sweet monkey,general,none,general,-0.6
YouTube,edyh71THv_8,https://www.youtube.com/watch?v=edyh71THv_8,The best kids 🔥🔥🔥 #filaretiki #social #shorts,,2023-06-15T13:25:54Z,215528180,4149396,0,1.93,1.93,0.0,61,N/A,general,none,general,0.517
YouTube,lRzG3phjmYo,https://www.youtube.com/watch?v=lRzG3phjmYo,funny baby crying 😅 Tom 🍓 Jerry #funnyvideo #youtubeshorts #trending #mantumommagic #shorts,,2024-07-14T12:54:13Z,218109669,1734789,2194,0.8,0.8,0.0,6,[Music] a,general,none,general,0.025
YouTube,HAHQrfXWFV8,https://www.youtube.com/watch?v=HAHQrfXWFV8,Respect🔥🐈🥶😱||Amazing image#respect #shorts,"Respect🔥🐈🥶😱||Amazing image#respect #shorts

respect
shorts 
#shorts 
respect shorts
respect reels
respect song
respect video
respect status 
respect performer
respect natok
respect girls
#viralshorts 
Viral shorts
respect short
short video
yyoutubeshort
youtube shorts
respect shorts
respect short video
respect videos
respect videos like a boss
respect tiktok videos
#respect 
#viralshorts 
#respectshorts 
#shortsreels 
#shortsvideo 
#respectreaction 
#respectgoend

respect moments 
respect moments in football
respect moments shorts 
respect moments in sports
Search respect moments tiktok
Search respect moments in life 
Search respect moments shorts
respect moments video
respect skills
respect skills videos 
respect skills shorts
respect football skills
respect moments skills 
respect status 


👉🏻Disclaimer👇🏻

Copyright Disclaimer under section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.

🙏🏻A Please give your Like and subscribe❤️",2024-02-03T02:31:14Z,183225605,0,4641,0.0,0.0,0.0,35,N/A,general,none,general,0.0
YouTube,QmexVFsMwgc,https://www.youtube.com/watch?v=QmexVFsMwgc,Stanley’s on 💯 #shorts,,2024-02-22T22:47:14Z,205720787,2402793,16872,1.18,1.17,0.01,9,I got a thing for you I see you winding and grinding up on that pole I know you see me looking at you and you already know,general,none,general,0.0
YouTube,D9prj9zFaR0,https://www.youtube.com/watch?v=D9prj9zFaR0,amaira ke sath y kya ho gya 😂#amairagurjar #shorts,,2024-03-11T05:12:47Z,204698206,1515813,3154,0.74,0.74,0.0,11,N/A,general,none,general,0.0
YouTube,9alrl4d7AjQ,https://www.youtube.com/watch?v=9alrl4d7AjQ,Biggest Samosa For All Samosa Lovers😍 | Chahat Anand | #shorts,"Biggest Samosa For All Samosa Lovers😍

Facebook  - https://www.facebook.com/ChahatAanand/
Instagram  - https://www.instagram.com/chahat_anand
If you like our videos, don't forget to like, subscribe and share. 
For business queries -  chahatanand@qyuki.com

#samosa #food #chahatanand",2022-10-30T15:00:06Z,153188085,0,5279,0.0,0.0,0.0,8,N/A,general,none,general,0.0
YouTube,nolS8hDocp4,https://www.youtube.com/watch?v=nolS8hDocp4,"She Put the Kitten in a Washing Machine 😭💔"" #shorts #catstory","#cutecats #viral #crazycat

This video is ai generated, story is written voice over created by me ❤🎯",2025-06-20T09:45:55Z,255017551,2909195,4953,1.14,1.14,0.0,47,[Music] You like laundry? Enjoy it. [Music] [Applause] Who did this to you? Get out of my house. [Music],general,none,general,0.0
YouTube,gyJ8ChsdxTA,https://www.youtube.com/watch?v=gyJ8ChsdxTA,Carl Still Remembers Jim [4K Remake] | The Walking Dead #Shorts,Carl Still Remembers Jim [4K Remake] | The Walking Dead #Shorts,2023-05-11T01:45:47Z,132716601,4299893,18604,3.25,3.24,0.01,24,N/A,general,none,general,-0.2
